epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.9768,1.23714,1.51912,1.54008,0.95656,0.89581,0.95719,0.64492,1.17444,0.77976,1.49883,0.0700867,0.0033237,0.0033237
2,97.906,1.10654,0.91168,1.40437,0.90729,0.86255,0.93337,0.69425,0.95606,0.71987,1.40688,0.0399549,0.00652522,0.00652522
3,145.102,1.11818,0.88853,1.42346,0.70746,0.74189,0.77968,0.4997,1.38868,1.15053,1.95149,0.00969109,0.00959475,0.00959475
4,192.202,1.15365,0.88586,1.44294,0.95145,0.89676,0.96222,0.70639,1.02976,0.70637,1.47243,0.009406,0.009406,0.009406
5,240.598,1.08524,0.81424,1.40751,0.9236,0.88111,0.94435,0.70629,1.00057,0.70291,1.44621,0.009208,0.009208,0.009208
6,306.336,1.05897,0.75277,1.38016,0.96573,0.89831,0.95176,0.73573,0.93531,0.56105,1.41502,0.00901,0.00901,0.00901
7,363.928,1.00646,0.70798,1.34219,0.96216,0.94806,0.9779,0.77013,0.83181,0.4648,1.29255,0.008812,0.008812,0.008812
8,429.256,0.99593,0.68652,1.33723,0.9862,0.95254,0.98528,0.77091,0.85408,0.47949,1.31271,0.008614,0.008614,0.008614
9,488.271,0.97254,0.66723,1.31961,0.97519,0.93265,0.98074,0.77069,0.8369,0.46719,1.29337,0.008416,0.008416,0.008416
10,549.748,0.9499,0.63278,1.30133,0.96371,0.92373,0.9647,0.76074,0.8514,0.48575,1.32245,0.008218,0.008218,0.008218
11,608.094,0.93237,0.61752,1.29328,0.99126,0.96102,0.98484,0.79048,0.79287,0.42035,1.26813,0.00802,0.00802,0.00802
12,663.828,0.90308,0.59541,1.2745,0.98439,0.9617,0.98878,0.80477,0.75575,0.38406,1.21801,0.007822,0.007822,0.007822
13,720.886,0.89883,0.58988,1.27186,0.97882,0.94017,0.97816,0.79671,0.75425,0.41135,1.23711,0.007624,0.007624,0.007624
14,778.744,0.88427,0.5768,1.25797,0.96409,0.95569,0.98605,0.80028,0.75881,0.38712,1.23691,0.007426,0.007426,0.007426
15,836.435,0.86786,0.55059,1.24745,0.98084,0.96102,0.9839,0.80801,0.75064,0.36401,1.22454,0.007228,0.007228,0.007228
16,895.866,0.86096,0.5439,1.24358,0.98448,0.95593,0.98655,0.80287,0.76828,0.39073,1.23762,0.00703,0.00703,0.00703
17,949.765,0.84811,0.53873,1.23673,0.98231,0.97458,0.99154,0.8266,0.73632,0.35946,1.21759,0.006832,0.006832,0.006832
18,1010.72,0.82811,0.51945,1.22452,0.98277,0.96669,0.99031,0.81751,0.71387,0.34544,1.20305,0.006634,0.006634,0.006634
19,1080.08,0.82831,0.51317,1.22914,0.98875,0.96102,0.99001,0.81842,0.7293,0.34522,1.20092,0.006436,0.006436,0.006436
20,1143.31,0.82482,0.51391,1.22138,0.98578,0.9661,0.99001,0.82236,0.71029,0.34279,1.18049,0.006238,0.006238,0.006238
21,1207.04,0.80858,0.49304,1.20731,0.99401,0.97119,0.99374,0.83754,0.6731,0.31844,1.16231,0.00604,0.00604,0.00604
22,1265.55,0.80099,0.48233,1.20827,0.98781,0.96135,0.98603,0.79999,0.76094,0.35027,1.23957,0.005842,0.005842,0.005842
23,1310.23,0.79354,0.4832,1.20119,0.99234,0.96102,0.99154,0.82616,0.73078,0.33252,1.19976,0.005644,0.005644,0.005644
24,1355.78,0.78768,0.48269,1.19878,0.98619,0.97966,0.99018,0.82797,0.70225,0.32738,1.17888,0.005446,0.005446,0.005446
25,1399.92,0.76424,0.46538,1.18258,0.98178,0.96949,0.99,0.82325,0.70843,0.33352,1.18588,0.005248,0.005248,0.005248
26,1446.29,0.77,0.4667,1.19151,0.9937,0.9678,0.9904,0.84475,0.67931,0.31427,1.15925,0.00505,0.00505,0.00505
27,1495.18,0.75508,0.45648,1.18369,0.98956,0.96441,0.98921,0.83541,0.69251,0.32757,1.18648,0.004852,0.004852,0.004852
